args0,cores,date,host,host-id,mean-runtime,platform,spec-name
benchmark_specs/data/id3-small.dat,1,1459868886,cores1n12,703682663787948662,9948782.0,Intel Sandy Bridge,benchmark_specs.id3.small.parfun.csv
benchmark_specs/data/id3-small.dat,6,1459855386,cores6n6,8229265527377109261,8620339.0,Intel Sandy Bridge,benchmark_specs.id3.small.serial.csv
benchmark_specs/data/id3-small.dat,6,1459855386,cores6n6,8229265527377109261,3073107.0,Intel Sandy Bridge,benchmark_specs.id3.small.parfun.csv
39,4,1459831460,cores4n4,8614349889954839680,2895037.0,Intel Sandy Bridge,benchmark_specs.fib.big.parfun.csv
39,4,1459831460,cores4n4,8614349889954839680,5609360.0,Intel Sandy Bridge,benchmark_specs.fib.big.serial.csv
,2,,cores2n20,1216334873681069200,533000.0,Intel Sandy Bridge,fib.fj_java
,2,,cores2n20,1216334873681069200,559000.0,Intel Sandy Bridge,fib.serial_java
39,2,1459838707,cores2n14,292001862258712663,4723726.0,Intel Sandy Bridge,benchmark_specs.fib.big.parfun.csv
39,2,1459838707,cores2n14,292001862258712663,5813882.0,Intel Sandy Bridge,benchmark_specs.fib.big.serial.csv
,2,,cores2n20,7911063499339387498,572000.0,Intel Sandy Bridge,fib.fj_java
,2,,cores2n20,7911063499339387498,601000.0,Intel Sandy Bridge,fib.serial_java
,1,,cores1n26,9136492225225479535,525000.0,Intel Sandy Bridge,fib.fj_java
,1,,cores1n26,9136492225225479535,556000.0,Intel Sandy Bridge,fib.serial_java
,1,,cores1n34,6905121801440751474,560000.0,Intel Sandy Bridge,fib.fj_java
,1,,cores1n34,6905121801440751474,617000.0,Intel Sandy Bridge,fib.serial_java
39,4,1459819548,cores4n1,6435028813325708551,2662102.0,Intel Sandy Bridge,benchmark_specs.fib.big.parfun.csv
39,4,1459819548,cores4n1,6435028813325708551,5685144.0,Intel Sandy Bridge,benchmark_specs.fib.big.serial.csv
benchmark_specs/data/id3-small.dat,4,1459879795,cores4n3,8774948492497797547,9368118.0,Intel Sandy Bridge,benchmark_specs.id3.small.serial.csv
benchmark_specs/data/id3-small.dat,4,1459879795,cores4n3,8774948492497797547,4610589.0,Intel Sandy Bridge,benchmark_specs.id3.small.parfun.csv
,1,,cores1n16,7529332002981310322,548000.0,Intel Sandy Bridge,fib.fj_java
,1,,cores1n16,7529332002981310322,551000.0,Intel Sandy Bridge,fib.serial_java
,2,,cores2n23,4107477291346339319,539000.0,Intel Sandy Bridge,fib.fj_java
,2,,cores2n23,4107477291346339319,569000.0,Intel Sandy Bridge,fib.serial_java
39,1,1459821894,cores1n44,7050271166101890044,11849132.0,Intel Sandy Bridge,benchmark_specs.fib.big.parfun.csv
39,1,1459821894,cores1n44,7050271166101890044,8162715.0,Intel Sandy Bridge,benchmark_specs.fib.big.serial.csv
,1,,cores1n29,7617125296334895101,538000.0,Intel Sandy Bridge,fib.fj_java
,1,,cores1n29,7617125296334895101,569000.0,Intel Sandy Bridge,fib.serial_java
,1,,cores1n4,9164158248472676243,536000.0,Intel Sandy Bridge,fib.fj_java
,1,,cores1n4,9164158248472676243,586000.0,Intel Sandy Bridge,fib.serial_java
39,2,1459838707,cores2n22,2662555550288371799,7830198.0,Intel Sandy Bridge,benchmark_specs.fib.big.parfun.csv
39,2,1459838707,cores2n22,2662555550288371799,6579479.0,Intel Sandy Bridge,benchmark_specs.fib.big.serial.csv
benchmark_specs/data/id3-small.dat,1,1459868886,cores1n15,1944471936481258102,9057974.0,Intel Sandy Bridge,benchmark_specs.id3.small.serial.csv
benchmark_specs/data/id3-small.dat,1,1459868886,cores1n15,1944471936481258102,10033876.0,Intel Sandy Bridge,benchmark_specs.id3.small.parfun.csv
benchmark_specs/data/id3-small.dat,1,1459842777,cores1n4,6691726527432675442,9387124.0,Intel Sandy Bridge,benchmark_specs.id3.small.serial.csv
benchmark_specs/data/id3-small.dat,1,1459842777,cores1n4,6691726527432675442,9513503.0,Intel Sandy Bridge,benchmark_specs.id3.small.parfun.csv
,4,,cores4n2,9019227652265766327,296000.0,Intel Sandy Bridge,fib.fj_java
,4,,cores4n2,9019227652265766327,584000.0,Intel Sandy Bridge,fib.serial_java
benchmark_specs/data/id3-small.dat,1,1459842777,cores1n45,8974783365046521970,8708493.0,Intel Sandy Bridge,benchmark_specs.id3.small.serial.csv
benchmark_specs/data/id3-small.dat,1,1459842777,cores1n45,8974783365046521970,9148849.0,Intel Sandy Bridge,benchmark_specs.id3.small.parfun.csv
39,1,1459827927,cores1n2,883263269432625780,5188617.0,Intel Sandy Bridge,benchmark_specs.fib.big.parfun.csv
39,1,1459827927,cores1n2,883263269432625780,9249576.0,Intel Sandy Bridge,benchmark_specs.fib.big.serial.csv
39,1,1459862701,cores1n32,5138720087534863006,2628694.0,Intel Sandy Bridge,benchmark_specs.fib.big.parfun.csv
39,1,1459862701,cores1n32,5138720087534863006,5965843.0,Intel Sandy Bridge,benchmark_specs.fib.big.serial.csv
39,1,1459827927,cores1n26,793040626612341364,2837836.0,Intel Sandy Bridge,benchmark_specs.fib.big.parfun.csv
39,1,1459827927,cores1n26,793040626612341364,5019289.0,Intel Sandy Bridge,benchmark_specs.fib.big.serial.csv
39,1,1459816022,cores1n28,7677796893416405232,10563955.0,Intel Sandy Bridge,benchmark_specs.fib.big.parfun.csv
39,1,1459816022,cores1n28,7677796893416405232,4727004.0,Intel Sandy Bridge,benchmark_specs.fib.big.serial.csv
,1,,cores1n6,5423478390649705839,541000.0,Intel Sandy Bridge,fib.fj_java
,1,,cores1n6,5423478390649705839,586000.0,Intel Sandy Bridge,fib.serial_java
benchmark_specs/data/id3-small.dat,4,1459853884,cores4n7,6922806990706975981,8925275.0,Intel Sandy Bridge,benchmark_specs.id3.small.serial.csv
benchmark_specs/data/id3-small.dat,4,1459853884,cores4n7,6922806990706975981,4670982.0,Intel Sandy Bridge,benchmark_specs.id3.small.parfun.csv
39,2,1459829670,cores2n3,1239296352961070494,11537170.0,Intel Sandy Bridge,benchmark_specs.fib.big.parfun.csv
39,2,1459829670,cores2n3,1239296352961070494,6318467.0,Intel Sandy Bridge,benchmark_specs.fib.big.serial.csv
39,1,1459862701,cores1n2,4521220656430187166,5372966.0,Intel Sandy Bridge,benchmark_specs.fib.big.parfun.csv
